Channel,videoID,videoKind,videoTitle,playlistID
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,fpAObF1B_sI,youtube#video,How Baby Sea Turtles Find Their Way Home,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,VAHWGa_UYLI,youtube#video,Is Sugar a Drug?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,VTUCTT6I1TU,youtube#video,This Rainforest Caterpillar Looks Like Donald Trump,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,kkiuw0HbRq4,youtube#video,Why Don't Ants Get Stuck In Traffic?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,YLt0-yoOKvw,youtube#video,Why Do More Species Live Near the Equator?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,tdQ-CYI-45s,youtube#video,Ask Joe Stuff #6,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,hphdsLcSTYQ,youtube#video,What’s REALLY Warming the Earth?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,zm6zfHzvqX4,youtube#video,Do Plants Think?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,Xtu2_ziBI_w,youtube#video,Engines of Destruction: The Science of Hurricanes!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,xEo3N9EOpgw,youtube#video,Your Microbiome: The Invisible Creatures That Keep You Alive!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,Qd92MuVZXik,youtube#video,Nature’s Killer Cocktails: VENOM Science!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,Pb5YR6wpg7g,youtube#video,The Small Problem With Shrinking Ourselves,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,JqSPVISfIMU,youtube#video,Attack of the Cosmic Space Junk!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,yzBIarGJjHk,youtube#video,Why Salt & Pepper?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,LhubEq6W9GE,youtube#video,Why Don't Other Animals Wear Glasses?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,rZ9S_3RFBgc,youtube#video,Where Did Zika Come From?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,2SNcbNlbyVo,youtube#video,Between Two Tesla Coils! - 360 Video,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,KGhNgeg9IAw,youtube#video,Musical Tesla Coils in SLOW MOTION! Featuring Physics Girl,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,N0X6XBj3ijI,youtube#video,Spit: Everything You Never Wanted To Know,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,rz3UdLEWQ60,youtube#video,How Fire Ants Took Over America 🔥🔥🔥🔥🔥,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,xLlsIxOBF64,youtube#video,Is Your Brain Too Old For Video Games?,UUH4BNI0-FOK2dMXoFtViWHw
